# Trees,Max Features,Learning Rate,Max Leaf Nodes,Min Split,AUC-Train,AUC-Test,Loss-Train,Loss-Test
50,auto,0.001,4,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,4,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,4,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,12,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,12,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,12,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,20,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,20,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.001,20,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,4,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,4,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,4,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,12,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,12,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,12,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,20,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,20,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.01,20,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
50,auto,0.5,4,0.0001,0.7128496240079073,0.7138165003573831,0.8130010962486267,0.8128790259361267
50,auto,0.5,4,0.1,0.712409385037168,0.7132496474814858,0.8129954934120178,0.8129953145980835
50,auto,0.5,4,0.2,0.7049728166551406,0.7055308552431101,0.8154770731925964,0.8155763745307922
50,auto,0.5,12,0.0001,0.7506666302681204,0.7512695396088817,0.8011230230331421,0.8011369109153748
50,auto,0.5,12,0.1,0.7307175840951559,0.7314669072385039,0.8073394298553467,0.8072950839996338
50,auto,0.5,12,0.2,0.7227982079942664,0.7230268081223986,0.8097521662712097,0.8098880052566528
50,auto,0.5,20,0.0001,0.7506666302681204,0.7512695396088817,0.8011230230331421,0.8011369109153748
50,auto,0.5,20,0.1,0.7307175840951559,0.7314669072385039,0.8073394298553467,0.8072950839996338
50,auto,0.5,20,0.2,0.7227982079942664,0.7230268081223986,0.8097521662712097,0.8098880052566528
200,auto,0.001,4,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,4,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,4,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,12,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,12,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,12,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,20,0.0001,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,20,0.1,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.001,20,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.01,4,0.0001,0.534338638736838,0.5345883816424524,0.8673018217086792,0.8674669861793518
200,auto,0.01,4,0.1,0.534338638736838,0.5345883816424524,0.8673018217086792,0.8674669861793518
200,auto,0.01,4,0.2,0.5,0.5,0.8780061602592468,0.8782602548599243
200,auto,0.01,12,0.0001,0.5534760714544932,0.5539594440033022,0.861333429813385,0.8614181280136108
200,auto,0.01,12,0.1,0.5556371143838623,0.55609905944112,0.8606594800949097,0.8607482314109802
200,auto,0.01,12,0.2,0.5001608217993949,0.5001522908051498,0.8779557943344116,0.8782128691673279
200,auto,0.01,20,0.0001,0.5534760714544932,0.5539594440033022,0.861333429813385,0.8614181280136108
200,auto,0.01,20,0.1,0.5556371143838623,0.55609905944112,0.8606594800949097,0.8607482314109802
200,auto,0.01,20,0.2,0.5001608217993949,0.5001522908051498,0.8779557943344116,0.8782128691673279
200,auto,0.5,4,0.0001,0.788054733416334,0.7880757056202432,0.7896384000778198,0.7898196578025818
200,auto,0.5,4,0.1,0.7775312082789588,0.7780027450148603,0.7933163046836853,0.7933973073959351
200,auto,0.5,4,0.2,0.7813848082638959,0.7807750515445601,0.7921718955039978,0.7926251888275146
200,auto,0.5,12,0.0001,0.830964192918072,0.8312097007777173,0.7760637402534485,0.7761736512184143
200,auto,0.5,12,0.1,0.8080781561906978,0.8080292732656305,0.7834966778755188,0.7836817502975464
200,auto,0.5,12,0.2,0.7946921217211018,0.7941205830381352,0.7877460718154907,0.7881346940994263
200,auto,0.5,20,0.0001,0.830964192918072,0.8312097007777173,0.7760637402534485,0.7761736512184143
200,auto,0.5,20,0.1,0.8080781561906978,0.8080292732656305,0.7834966778755188,0.7836817502975464
200,auto,0.5,20,0.2,0.7946921217211018,0.7941205830381352,0.7877460718154907,0.7881346940994263
